Nickname	ID
Aches	616577546930094102
Aegorax	914382224399405077
AjHammock	508670249499885579
Algorian	91951908331196416
Allexie	516432801822670858
Amaranthus	298987721542598657
Angrygary	583399234020180164
Azaelios	158033792345440256
Baldystab	358564280813092866
Bash	288173204764229634
Bintang	504595477547974668
Blarly	251225527799513089
Blood	298329767654981632
Bombie	1431025705009025156
Bonker	143864065561722880
Bowsong	223652296930623488
Bravewing	411367610412957716
Bunney	486063299839000576
Buodicca	843606650195279943
Burninator	129454562280079361
Burninglove	578692064598818828
Bussy	157576069363400704
Celestana	862770356192018522
Cerydra	328025405707649025
Chipum	771872432222634025
Cjmann	926266914836201503
Clear	610609262611136512
Crucible	447190393474383882
Daglin	349540682781818880
Diaxiristis	283858435349413889
Diddy	1056698285697540097
Dingytomato	707721467567145011
Dredga	271875130328612866
Drorn	301153581283672064
Drunkengunman	1320886586363351132
Dzakal	627486443765235725
Earfarmer	1416828611348140114
Edgelord	728204717905281054
Elatarsond	1327944649611935801
Envy	1091878730370138223
Fael	252324027815821312
Ferdly	1208864137602670643
Fireavatar	229756684980060161
Forthebuoys	740024274114445352
Franklyn	306938832735961089
Ftworth	297531925847867395
Gaph	228314433514897408
Ghinn	219890033878892544
Gnormal	238822023399342080
Greaper	217832748214124544
Gygaxson	359019781086511104
Hamb	178272635401142272
Hamelton	1149026478005161984
Hatewarrior	1422296160881737728
Hcfrostbloom	359721048075403267
Holdmybow	447229053490036746
Holymarxx	183601076883292160
Illumanatis	325835833280167967
Impshot	266773002463608836
Jadiaz	504100806388219906
Eilaurowen	280841570025078784
Jarn	1229448307546394626
Jawnny	244288919762370561
Jcesar	808885854352310294
Jerith	224547332765515777
JJC	1195595314871156856
Karakis	151208606346379264
Katniss	242740556411830273
Kharn	257040570340474881
Kilroth	268846877158408193
Kirinas	331768947441401858
Kmemesgroff	1106061591465689138
Kmoney	616982198913990672
Kontigo	253974015801032704
Kristinleah	418217035361943563
Kurl	249773005452869632
Latuyaguey	387395344008216578
Lawn	633717740196200463
Leela	450090425731252236
Levx	673380740536467476
Lillandra	417326582412345354
Lizzie	268489391192801281
Lochlinban	505385793427341312
Lotharadin	343197549697695744
Luna	1315736933338452009
Macajust	440677858226995223
Majic	653010679321591813
Makenzi	221440729048809472
Malek	475201574113771520
Mayhem	354446405516918784
Mcdilda	481283426788311043
McQ	105729309334867968
Megabit	207621917396434945
Melissa	1121020554988765276
Mell	673587817368256552
Mirabetta	536831232831651854
Mire	1224556775131582505
Mnor	483828494573371402
Mushrum	404740411668693002
Mysticoak	1235432206344917002
Nessa	1333211760555200552
Netsabre	1412575334842503350
Neverdied	315675107093905409
Novalily	416434161490853890
Nyx	927693935390892113
Oomi	233332926027268096
Oprecht	282975338198466570
Pallywoot	1424189306729140295
Pangaean	146848386178482176
Peagerm	330455057629839363
Peeka	781349604792336384
Perzeus	1441473018206355587
Pillbug	269621004907577345
Pixley	803572753579507733
Plaguis	915087891108073503
Poppa	696537683958300722
Portnoy	741801457195679844
Printscreen	151038661390106625
Puerta	266372078351941632
Pureviolence	1041834026480185376
Purplecrayon	261693447830896640
Radrinton	357614007399743491
Ravinlord	402502447857139713
Rayrice	219964479788548096
Recreannt	516356027902459917
Rerolles	377943212024922122
Rincewind	156253836825067520
Rip	236470325632696320
Rivendare	152624946043027456
Run	147849495319805962
Rusty	834900415849562183
Salline	174708991660654592
Salmonmanjoe	99915693813669888
Sanierily	483702502215122965
Sayagirl	149015267748478976
Seawede	1029742525495394377
Secondlifee	806485975177363497
Selik	697252411412316210
Seyeulb	113051605493899264
Sheila	335590835510837248
Shivroy	913446260663550012
Siuansanche	908804904594841642
Snake	374372840977334272
Snowmagic	635272360290811905
Snuggles	1012876713723707503
Solaurica	385569730200862720
Spunkiee	664304054230450225
Squit	135819528306294784
Sraiden	548696878943043606
Starcommand	277536199789379584
Stonewielder	400450872934531075
Stormyj	1428425983702208654
StraightArrow	324076269408878593
Syruq	833528206401208370
Taresitia	657387162995785753
Teflon	1152424333604569129
Telea	1419114980405412023
Thormhammer	263360534580035584
Thormortx	615191696598237208
Thunderslash	1169358645855789086
Thymesis	142052567466115073
TJ	1097442599452815360
Tobias	170352749853147136
Tonguebath	542769360180215839
Transfmer	1358564745216528555
Trisanna	692793691030421565
Ungala	235535757442285569
Ushinata	540300744348139521
Utena	406678204737388554
Valgar	772143219517292544
Vaughn	194633715593379840
Vellindre	207367845506580480
Veloz	479176509706469376
Veltarion	346152640029392926
Vi	284989861125947394
Vidic	275895239997390848
Vorheeis	210555007014010896
Whippel	478744293461458944
Yeetbeeter	793245816692408330
Yesac	396507582086381568
Yire	832445269965930567
Ynott	718232666884931705
Yuriv	199787786826547200
Zalf	643983780658413619
Zecalion	715389436288040984
Zua	655294936505122816
Deves	693881390315601940
Gheralt	337419820901597185
Fumafuma	328242174900699139
Valque	504595929387761664
Halfsquatch	733893110009954375
Leetownage	199002241024262144
Gravehound	338738427744878594
Loopi	1197312373741080636
Steroidj	465292676242341898
