Item name	Val	Category
Flask of Petrification	50	Alchemy
Arcanite Bar	30	Alchemy
Elixir of Shadow Power	7	Alchemy
Greater Shadow Protection Potion	6	Alchemy
Shadow Oil	5	Alchemy
Living Action Potion	5	Alchemy
Elixir of the Mongoose	5	Alchemy
Mighty Rage Potion	4	Alchemy
Elixir of Brute Force	4	Alchemy
Greater Arcane Elixir	4	Alchemy
Major Troll's Blood Potion	4	Alchemy
Major Mana Potion	3.5	Alchemy
Restorative Potion	3	Alchemy
Limited Invulnerability Potion	3	Alchemy
Mageblood Potion	3	Alchemy
Elixir of Demonslaying	3	Alchemy
Purification Potion	3	Alchemy
Ghost Dye	3	Alchemy
Elixir of Superior Defense	2.7	Alchemy
Elixir of Frost Power	2.5	Alchemy
Elixir of the Sages	2.5	Alchemy
Greater Stoneshield Potion	2.5	Alchemy
Greater Fire Protection Potion	2.5	Alchemy
Greater Frost Protection Potion	2.5	Alchemy
Greater Nature Protection Potion	2.5	Alchemy
Greater Arcane Protection Potion	2.5	Alchemy
Elixir of Giants	2	Alchemy
Frost Oil	2	Alchemy
Invisibility Potion	2	Alchemy
Greater Dreamless Sleep Potion	2	Alchemy
Elixir of Greater Firepower	1.5	Alchemy
Elixir of Greater Agility	1.5	Alchemy
Elixir of Fortitude	1.5	Alchemy
Elixir of Greater Intellect	1.2	Alchemy
Elixir of Greater Defense	1.05	Alchemy
Lesser Invisibility Potion	1	Alchemy
Goblin Rocket Fuel	1	Alchemy
Elixir of Lesser Agility	1	Alchemy
Elixir of Giant Growth	1	Alchemy
Frost Protection Potion	1	Alchemy
Arcane Elixir	1	Alchemy
Gift of Arthas	1	Alchemy
Elixir of Dream Vision	1	Alchemy
Elixir of Agility	1	Alchemy
Free Action Potion	1	Alchemy
Fire Protection Potion	1	Alchemy
Lesser Stoneshield Potion	1	Alchemy
Elixir of Defense	0.99	Alchemy
Elixir of Lesser Agillity	0.9	Alchemy
Shadow Protection Potion	0.85	Alchemy
Minor Magic Resistance Potion	0.8	Alchemy
Elixir of Detect Lesser Invisibility	0.8	Alchemy
Superior Mana Potion	0.8	Alchemy
Oil of Immolation	0.75	Alchemy
Major Healing Potion	0.75	Alchemy
Elixir of Detect Undead	0.7	Alchemy
Mighty Troll's Blood Potion	0.7	Alchemy
Elixir of Water Breathing	0.6	Alchemy
Elixir of Poison Resistance	0.6	Alchemy
Swiftness Potion	0.5	Alchemy
Swim Speed Potion	0.5	Alchemy
Catseye Elixir	0.5	Alchemy
Magic Resistance Potion	0.5	Alchemy
Elixir of Greater Water Breathing	0.5	Alchemy
Elixir of Detect Demon	0.5	Alchemy
Strong Troll's Blood Potion	0.5	Alchemy
Elixir of Firepower	0.5	Alchemy
Stonescale Oil	0.4	Alchemy
Wildvine Potion	0.4	Alchemy
Great Rage Potion	0.4	Alchemy
Elixir of Minor Agility	0.38	Alchemy
Blackmouth Oil	0.35	Alchemy
Mighty Troll's Blood	0.3	Alchemy
Nature Protection Potion	0.3	Alchemy
Fire Oil	0.3	Alchemy
Elixir of Ogre's Strength	0.3	Alchemy
Dreamless Sleep Potion	0.2	Alchemy
Elixir of Minor Fortitude	0.15	Alchemy
Weak Troll's Blood Potion	0.1	Alchemy
Elixir of Wisdom	0.1	Alchemy
Greater Mana Potion	0.1	Alchemy
Rage Potion	0.1	Alchemy
Holy Protection Potion	0.1	Alchemy
Greater Healing Potion	0.1	Alchemy
Healing Potion	0.08	Alchemy
Superior Healing Potion	0.08	Alchemy
Mana Potion	0.08	Alchemy
Elixir of Lion's Strength	0.07	Alchemy
Lesser Mana Potion	0.03	Alchemy
Elixir of Minor Defense	0.02	Alchemy
Minor Rejuvenation Potion	0.02	Alchemy
Lesser Healing Potion	0.01	Alchemy
Minor Mana Potion	0.01	Alchemy
Minor Healing Potion	0	Alchemy
Discolored Healing Potion	0	Alchemy
Blackguard	1500	Blacksmithing
Blackfury	430	Blacksmithing
Black Amnesty	400	Blacksmithing
Ebon Hand	400	Blacksmithing
Bloodsoul Breastplate	150	Blacksmithing
Bloodsoul Gauntlets	150	Blacksmithing
Bloodsoul Shoulders	150	Blacksmithing
Heavy Timbermaw Boots	130	Blacksmithing
Reforged Blade of Heroes	100	Blacksmithing
Dark Iron Boots	100	Blacksmithing
Dark Iron Gauntlets	100	Blacksmithing
